node,idx,sigfTP
Zrc1,1,50
Cot1,2,35
Fmp42,3,55
Rtn1,4,50
Vps54,5,NA
Vps53,6,55
Igo1,7,35
Cdc55,8,NA
Igo2,9,40
Swe1,10,40
Msg5,11,35
Slt2,12,NA
Sko1,13,40
Kss1,14,NA
Vps52,15,NA
Ypl247c,16,35
Yak1,17,NA
Rim15,18,15
Sch9,19,40
Msn2,20,40
Bud4,21,35
Bud3,22,NA
Clb2,23,NA
Ssk2,24,35
Pbs2,25,20
Hog1,26,15
Cdc28,27,NA
Ask10,28,35
Fps1,29,NA
Air2,30,35
Npl3,31,NA
Rpo21,32,5
Rtf1,33,40
Rad9,34,5
Rps31,35,NA
Snu13,36,NA
Nop56,37,NA
Nsr1,38,10
Nop1,39,NA
Ssn2,40,30
Srb7,41,NA
Rgr1,42,NA
Spt5,43,NA
Spt15,44,NA
Bdp1,45,35
Rpo26,46,NA
Paf1,47,NA
Rpb10,48,NA
Med6,49,NA
Ras2,50,NA
Gpa2,51,20
Tpk1,52,NA
Pfk26,53,25
Dbf4,54,5
Cdc5,55,NA
Ipl1,56,10
Glc7,57,NA
Rck2,58,20
Bud14,59,20
Bem2,60,15
Spa2,61,10
Stb1,62,5
Ptp3,63,5
Chc1,64,35
Vps27,65,NA
Ent2,66,NA
Ede1,67,40
Ubi4,68,NA
Rad23,69,45
Chk1,70,NA
Cdc9,71,NA
Tif35,72,NA
Ded1,73,50
Rpg1,74,NA
Prt1,75,NA
Nip1,76,NA
Rpn11,77,NA
Akl1,78,30
Apm4,79,NA
Sec16,80,35
Apl3,81,NA
Ent5,82,45
Ent1,83,NA
Bul2,84,25
Rsp5,85,NA
Yhr131c,86,30
Ldb19,87,35
Ecm21,88,35
Art5,89,35
Rad53,90,NA
Duf1,91,40
Rpn1,92,NA
Fun12,93,40
Rps8a,94,NA
Mtr4,95,NA
Rps9a,96,NA
Sla1,97,35
Vrp1,98,NA
Syp1,99,35
Sec18,100,30
Sly1,101,NA
Sec23,102,NA
Rpn10,103,NA
Fus3,104,NA
Sgv1,105,NA
Sto1,106,NA
Apl2,107,NA
Apl1,108,NA
Ste7,109,NA
Sky1,110,20
Swa2,111,NA
Sla2,112,NA
Act1,113,NA
Cyr1,114,40
Srv2,115,NA
Cof1,116,NA
Prm15,117,45
Dom34,118,NA
Sup35,119,40
Las17,120,5
Arp9,121,NA
Rsc9,122,50
Abp1,123,NA
Crn1,124,50
Mih1,125,NA
Hsl1,126,NA
Zds1,127,25
Snu66,128,10
Nam8,129,NA
Tif4632,130,NA
Tif2,131,15
Tif4631,132,NA
Yra1,133,NA
Sub2,134,20
